I feel good about what I'm working on,I feel good about my career path,I feel good about my work-life balance,I feel valued by those around me,I see opportunities for career growth,"In your opinion, what are the top three skills most in demand in the battery industry?","In opinion, which part(s) of the battery value chain are most in need of more skilled workers?",What is your highest level of education?,What did you study in school?,What country do you live in?,What is your ZIP code or postal code?,What is your total income over the past 12 months?,How many hours did you work last week?,What is your age?,How would you best describe yourself?,To which gender do you most identify with?,What is your citizenship status in the country you currently live in?,Have you ever served in the military?,What is your current employment situation?,"Since you're currently working in the industry, we would love to ask you some more detailed questions about your industry experience.

Would you like to complete these additional questions? ","Since you're a student, we would love to ask you more detailed questions about your student and job searching experience.

Would you like to complete these additional questions? ","Since you've indicated that you used to work for a company but no longer work there, we would love to ask you more detailed questions about your experience with the previous company and your job-search process.

Would you like to complete these additional questions? ",Why did you leave your previous company?,I am satisfied with my compensation,I am being underpaid compared to similar roles,I am satisfied with the raises and/or bonuses I have been receiving,What is your annual base salary?,"Beyond base salary, what additional compensation types do you receive?",How many times have you received a base salary increase over the past 12 months of employment?,How many times have you received a bonus over the past 12 months of employment?,How many years have you been with the company?,Where does the company fall on the battery value chain?,How would you classify your company's stage of development?,In what country is your office located?,In what state is your office located?,How many days did you work in the office last week?,How many employees work at your company?,What is the total headcount on your team?,What is your current job title?,What does your role involve?,What is your current level?,Why did you choose your current role and company?,Have you previously worked in other industries?,What was your previous role before joining the battery industry?,After working for 1 week?,After working for 1 month?,After working for 3 months?,Last week?,"When you first started your role, how were you trained?","When you first started in the battery industry, what could have improved your job performance on day one?",How many internships did you complete before starting your current role?,"In your opinion, what are the top skills that contributed to your success?","In your opinion, which positions are the hardest to fill in your company?","In your opinion, what do you think are the main barriers to hiring skilled talent in the battery industry?",How many times have you changed employers in the last five years?,Are you currently seeking new job opportunities?,My company has a good reputation in the industry,I want to stay with my company for at least 12 more months,I am satisfied with my current job stability,I am confident in my ability to find my next job in the industry,"If you were offered a similar role with a different company, what factors would influence your decision accept the offer?",Is there anything else you'd like to share about what you're looking for in your next role?,Mental health support,Work-life balance initiatives,Financial wellness programs,Career development opportunities,What benefits does your company entitle you to?,How many weeks of parental leave are you entitled to?,How many weeks of paid time off are you entitled to each year?,How many days of sick leave are you entitled to?,Are there any unique benefits that you value?,"After graduating, I know what role(s) to apply to","After graduating, I will find a job","By the time I graduate, I will have learned the skills needed to find a job",I am optimistic about the future of the battery industry,"After you graduate, what would be your ideal job title?","After you graduate, what part(s) of the battery value chain do you see yourself contributing to?",Which of the following aspects are you looking for in your first job?,How much do you expect to be paid for your first job?,How many internships have you completed so far?,"During your previous internship, where did your  employer fall on the battery value chain?","During your previous internship, what did your role involve?","During your previous internship, what are the top three skills that contributed to your success?","During your previous internship, were there skills you wish you had learned but didn't? If yes, what were they?","During your previous internship, were there skills that you felt unprepared for? If yes, what were they?","During your previous internship, what was your hourly pay?","During your previous internship, how many hours per week did you work, on average?",Submitted At,Token
4,4,4,4,4,"Scale up, the ability to keep up with and foresee research/industry trends and directions, language abilities (Chinese, Korean, Japanese) to learn from the bigger battery markets","Equipment manufacturing, Recycling, Cell production",Doctorate,Chemistry,United States,77007 (just moved back to V4N 5H2),120000,40,35,Asian,Male,Non-citizen (TN visa),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,4,2,125000,"Equity (stock, options, etc.)",1,0,3,Component/precursor production,Startup (early growth),United States,Texas,4,11-50,1-10,"Manager, R&D","Managing people, Managing projects or programs, Research and development, Supply chain, Testing and validation, Product design, New product introduction (NPI), Strategy and planning",Manager,"Supportive team and environment, Work-life balance, Sustainability and impact, Learning and skills development, Challenge and innovation, Autonomy and independence",No,,3,3,4,4,"Learning on the job, Peer mentors",Better understanding of culture and norms,2,"Doing a PhD on the same class of materials as start up, ability to be adaptable and troubleshoot, strong network","CEO, overnight production staff, middle level staff","Startups are fighting headwinds in terms of market and investment, startup culture is not always the most professional, incumbents are hard to displace",2,FALSE,2,2,4,4,"Company culture, Total hours worked, Salary, bonuses, Career growth opportunities, Job stability, Vacation time","Just recently changed jobs, still haven't started new one yet",,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:36:11,fkqh2mecyeh4ille74ccdfkqh2d4hld5
5,4,3,3,4,"Design for Reliability,   Test","Cell production, Module/pack production, Product integration (electronics)",Bachelors,Math,United States,92284,55000,20,76,,Male,Citizen (native-born),Yes,I'm not employed right now but I used to work for a company,,,TRUE,I was laid off,4,2,3,125000,Bonuses (based on company performance),0,1,3,"Module/pack production, Product integration (vehicles, mobility), Product integration (stationary storage)",Startup (early growth),United States,California,3,101-250,1-10,Design for Reliability,"Product design, Quality, Testing and validation",Expert,"Challenge and innovation, Desirable work location","Yes, in a different role","Distinguished Member of Technical Staff, Design for Reliability",4,5,5,5,Learning on the job,Better understanding of culture and norms,0,Curiosity,Supervisor,Location   (Michigan? no!),1,FALSE,3,3,2,5,"Work location flexibility, Salary, bonuses, Location",Geography,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:35:28,tv843y13jvcl3xtv843y1axjxswa7sv9
4,4,3,4,5,"Agile, Innovative, Communication","Energy infrastructure, Cell production, R&D",Bachelors,Chemical Engineering,United States,95126,146500,50,25,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,5,2,145000,"Equity (stock, options, etc.), Bonuses (based on individual performance), Bonuses (based on company performance)",1,1,4,Cell production,Startup (early growth),United States,California,5,,1-10,Manager,"Engineering and design, Managing projects or programs",Career,"Career growth opportunities, Challenge and innovation",No,,1,2,2,5,"Learning on the job, Peer mentors",Better foundational knowledge,2,"Communication, Ambition","C-suite, Senior Leadership","Perception, Recruiters, Judgement",2,FALSE,4,5,3,5,"Salary, bonuses, Equity, Vacation time, Perks, Company culture",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:34:34,rze601cdmwu0r2crze6086e9mnxhr45d
4,4,4,3,4,"design, manufacturing, and testing","Product integration (vehicles, mobility), Product integration (stationary storage), Module/pack production",Masters,Mechanical Engineering,United States,91107,140000,40,33,Asian,Male,Non-citizen (H-1B visa),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,2,3,140000,"Equity (stock, options, etc.)",0,0,3,"Product integration (vehicles, mobility), Module/pack production",Startup (early growth),United States,California,4,"501-1,000",1-10,battery design release engineer,"Engineering and design, Product design",Senior,"Career growth opportunities, Competitive salary and benefits, Desirable work location, Autonomy and independence, Learning and skills development, Sustainability and impact, Work-life balance, Challenge and innovation, Supportive team and environment, Hybrid/remote work",No,,4,4,4,4,Learning on the job,"Better foundational knowledge, More hands-on skills, Better understanding of culture and norms",0,"growth mindset, communication, and more practicing",battery technical fellow,"location, the potential of company or program to succeed, team environment,",3,FALSE,4,3,3,4,"Salary, bonuses, Job stability, Vacation time, Perks, Career growth opportunities, Work location flexibility, Total hours worked, Company culture, Visa sponsorship, Equity",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:34:32,vy5b5ilvywropxm49vy56x9n9wsp3qpa
5,5,5,4,5,"Electrochemistry, Process, Data Analysis","Cell production, Component/precursor production",Doctorate,Materials Science and Engineering,United States,95134,165000,40,30,Asian,Male,Non-citizen (F1/M1/OPT holder),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,1,3,165000,"Bonuses (based on individual performance), Equity (stock, options, etc.), Education or tuition reimbursement",0,0,1,Cell production,Startup (early growth),United States,California,5,251-500,1-10,Senior Battery Engineer,Research and development,Career,"Career growth opportunities, Competitive salary and benefits, Work-life balance, Challenge and innovation, Supportive team and environment",No,,3,3,3,4,"Peer mentors, Learning on the job","Better foundational knowledge, Better understanding of culture and norms",0,Battery fundamentals,,,0,TRUE,4,5,4,3,"Salary, bonuses, Job stability, Career growth opportunities, Company culture",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:31:17,f0scj5ewcwop12bqhp805raf0scj5ewc
5,5,5,5,5,"Scientific Observation, Data Analysis, ability to contribute to a team","Energy infrastructure, Mining, Product integration (stationary storage)",Bachelors,Chemical Engineering,United States,27409,49000,40,39,"White, American Indian or Alaska Native",Female,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,1,5,49000,Education or tuition reimbursement,0,0,1,"Component/precursor production, Cell production, Module/pack production, Product integration (vehicles, mobility)",Established (significant market presence),United States,North Carolina,5,"10,001-25,000",101+,Production Team Member,Manufacturing and production,Entry,"Job security, Sustainability and impact, Desirable work location, Career growth opportunities","Yes, in a different role",Administrative Assistant,5,5,5,5,"Formal training programs, Learning on the job",More hands-on skills,0,"Observation, proficiency in applied mathematics, willingness to learn","Entry level technicians, mechanical maintenance engineers","Lack of training programs specifically for the battery industry, lack of awareness of the battery industry",2,FALSE,5,5,5,5,"Job stability, Perks, Career growth opportunities, Company culture",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:28:57,9u8xjtdgygp8c2ui2q0b9u8xjtocowhd
5,4,5,5,4,Data analysis; research and experimentation; presentation skills,"R&D, new materials,",,Chemical Engineering,United States,94608,75000,40,29,Indian Origin African,Male,Non-citizen (Other),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:27:45,5ag9e0n4vfcae5aqgmcg28gnzr0a0lxh
3,3,3,2,3,"data science, manufacturing, pouch cells","Cell production, Component/precursor production, Module/pack production",Doctorate,Materials Science and Engineering,United States,99354,88000,45,30,"Hispanic, Latino, or Spanish origin, American Indian or Alaska Native",Male,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,4,4,88000,,1,1,2,research,Pre-startup (planning),United States,Washington,5,"10,001-25,000",11-20,post doctoral research associate,"Engineering and design, Research and development",Entry,"Career growth opportunities, Supportive team and environment, Job security, Learning and skills development, Work-life balance",No,,2,3,4,5,"Learning on the job, Peer mentors","Better foundational knowledge, More hands-on skills",3,materials science; communication; characterization,full time scientist,,1,TRUE,5,1,4,3,"Salary, bonuses, Perks, Career growth opportunities, Work location flexibility, Parental leave, Company culture",geography; stability; pay,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:23:39,slw3yg9ovf87zd0uv1vvvslw31pko9qf
3,4,4,5,4,Technical Knowledge; Software; Entrepreneurship,"Cell production, Energy infrastructure, Recycling",Doctorate,Mechanical Engineering,United States,48073,140000,40,33,White,Male,Non-citizen (H-1B visa),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,2,5,134000,Education or tuition reimbursement,1,1,12,"Recycling, Equipment manufacturing, Software, Consulting",Established (significant market presence),United States,Michigan,2,"1,001-5,000",1-10,Principal Engineer,"Engineering and design, Marketing, New product introduction (NPI), Product design, Quality, Research and development, Sales and services, Software development, Strategy and planning, Testing and validation",Career,"Challenge and innovation, Work-life balance, Hybrid/remote work, Job security, Autonomy and independence, Career growth opportunities",No,,3,4,4,5,"Learning on the job, Formal training programs, Peer mentors","Better foundational knowledge, More hands-on skills, Better understanding of culture and norms",2,Technical Knowledge; Presentation Skills; Data Analysis,Technical Expert/Consultant,Lack of Specialised People; Large Growth in Job Demand; Cyclic Industry,0,FALSE,4,5,5,4,"Salary, bonuses, Job stability, Vacation time, Career growth opportunities, Work location flexibility, Total hours worked, Visa sponsorship",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:22:55,x1v0zh4ogfzxt0yzux1v0zu728grj19g
4,3,3,3,3,"BMS, Safety, and process engineer","Product integration (vehicles, mobility), Module/pack production, Cell production",Doctorate,Chemical Engineering,United States,95762,180000,45,65,Asian,Male,Citizen (foreign-born),No,I'm not employed right now but I used to work for a company,,,TRUE,contract ended,3,3,2,180000,"Bonuses (based on individual performance), Education or tuition reimbursement, Bonuses (based on company performance)",1,1,2,Software,Established (significant market presence),United States,California,0,"1,001-5,000",11-20,,,Manager,Challenge and innovation,"Yes, in a different role",product manger,4,4,4,4,Learning on the job,Better understanding of culture and norms,0,learning,none,no knowledge of tech,2,TRUE,4,3,3,3,"Salary, bonuses",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:22:39,5zss2yj8oq6h2l5zss2yvqnbnhh0sp4f
