#,I feel good about what I'm working on,I feel good about my career path,I feel good about my work-life balance,I feel valued by those around me,I see opportunities for career growth,"In your opinion, what are the top three skills most in demand in the battery industry?",Mining,Refining,Component/precursor production,Cell production,Module/pack production,"Product integration (vehicles, mobility)",Product integration (stationary storage),Product integration (electronics),Energy infrastructure,Recycling,Equipment manufacturing,Software,Consulting,Other,What is your highest level of education?,Other,What did you study in school?,What country do you live in?,What is your ZIP code or postal code?,What is your total income over the past 12 months?,How many hours did you work last week?,What is your age?,White,"Hispanic, Latino, or Spanish origin",Black or African American,Asian,American Indian or Alaska Native,Middle Eastern or North African,Native Hawaiian or Other Pacific Islander,Decline to answer,Other,To which gender do you most identify with?,Other,What is your citizenship status in the country you currently live in?,Other,Have you ever served in the military?,What is your current employment situation?,Other,"Since you're currently working in the industry, we would love to ask you some more detailed questions about your industry experience.

Would you like to complete these additional questions? ","Since you're a student, we would love to ask you more detailed questions about your student and job searching experience.

Would you like to complete these additional questions? ","Since you've indicated that you used to work for a company but no longer work there, we would love to ask you more detailed questions about your experience with the previous company and your job-search process.

Would you like to complete these additional questions? ",Why did you leave your previous company?,Other,I am satisfied with my compensation,I am being underpaid compared to similar roles,I am satisfied with the raises and/or bonuses I have been receiving,What is your annual base salary?,Bonuses (based on individual performance),Bonuses (based on company performance),Bonuses (based on retention),"Equity (stock, options, etc.)",Commissions,Education or tuition reimbursement,Health and wellness stipends,Childcare expense reimbursement,Other,How many times have you received a base salary increase over the past 12 months of employment?,How many times have you received a bonus over the past 12 months of employment?,How many years have you been with the company?,Mining,Refining,Component/precursor production,Cell production,Module/pack production,"Product integration (vehicles, mobility)",Product integration (stationary storage),Product integration (electronics),Energy infrastructure,Recycling,Equipment manufacturing,Software,Consulting,Other,How would you classify your company's stage of development?,In what country is your office located?,In what state is your office located?,How many days did you work in the office last week?,How many employees work at your company?,What is the total headcount on your team?,What is your current job title?,Engineering and design,Investor,IT infrastructure,Facilities,Finance,Legal,Managing people,Managing projects or programs,Marketing,Manufacturing and production,New product introduction (NPI),Product design,Quality,Recruiting,Research and development,Sales and services,Software development,Software integration,Strategy and planning,Supply chain,Testing and validation,Other,What is your current level?,Career growth opportunities,Challenge and innovation,Autonomy and independence,Supportive team and environment,Competitive salary and benefits,Work-life balance,Job security,Learning and skills development,Sustainability and impact,Hybrid/remote work,Desirable work location,Other,Have you previously worked in other industries?,What was your previous role before joining the battery industry?,After working for 1 week?,After working for 1 month?,After working for 3 months?,Last week?,Learning on the job,Formal training programs,Peer mentors,Other,Better foundational knowledge,More hands-on skills,Better understanding of culture and norms,Other,How many internships did you complete before starting your current role?,"In your opinion, what are the top skills that contributed to your success?","In your opinion, which positions are the hardest to fill in your company?","In your opinion, what do you think are the main barriers to hiring skilled talent in the battery industry?",How many times have you changed employers in the last five years?,Are you currently seeking new job opportunities?,My company has a good reputation in the industry,I want to stay with my company for at least 12 more months,I am satisfied with my current job stability,I am confident in my ability to find my next job in the industry,"Salary, bonuses",Job stability,Equity,Vacation time,Perks,Career growth opportunities,Parental leave,Work location flexibility,Total hours worked,Company culture,Visa sponsorship,Other,Is there anything else you'd like to share about what you're looking for in your next role?,Mental health support,Work-life balance initiatives,Financial wellness programs,Career development opportunities,Healthcare coverage or stipend,Retirement account funding or match,Transit benefits,Work-from-home stipend,Gym or physical wellness stipend,Meal stipend,"Educational, tuition, or continued education stipend",Student loan matching,Other,How many weeks of parental leave are you entitled to?,How many weeks of paid time off are you entitled to each year?,How many days of sick leave are you entitled to?,Are there any unique benefits that you value?,"After graduating, I know what role(s) to apply to","After graduating, I will find a job","By the time I graduate, I will have learned the skills needed to find a job",I am optimistic about the future of the battery industry,"After you graduate, what would be your ideal job title?",Mining,Refining,Component/precursor production,Cell production,Module/pack production,"Product integration (vehicles, mobility)",Product integration (stationary storage),Product integration (electronics),Energy infrastructure,Recycling,Equipment manufacturing,Software,Consulting,Other,Career growth opportunities,Challenge and innovation,Autonomy and independence,Supportive team and environment,Competitive salary and benefits,Work-life balance,Job security,Learning and skills development,Sustainability and impact,Hybrid/remote work,Desirable work location,Other,How much do you expect to be paid for your first job?,How many internships have you completed so far?,Mining,Refining,Component/precursor production,Cell production,Module/pack production,"Product integration (vehicles, mobility)",Product integration (stationary storage),Product integration (electronics),Energy infrastructure,Recycling,Equipment manufacturing,Software,Consulting,Other,Engineering and design,Investor,IT infrastructure,Facilities,Finance,Legal,Managing people,Managing projects or programs,Marketing,Manufacturing and production,New product introduction,Product design,Quality,Recruiting,Research and development,Sales and services,Software development,Software integration,Strategy and planning,Supply chain,Testing and validation,Other,"During your previous internship, what are the top three skills that contributed to your success?","During your previous internship, were there skills you wish you had learned but didn't? If yes, what were they?","During your previous internship, were there skills that you felt unprepared for? If yes, what were they?","During your previous internship, what was your hourly pay?","During your previous internship, how many hours per week did you work, on average?",Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags
1zx68vutnhfo9erfrl1zx68vijd4jg3g,4,3,4,3,3,"Process Engineering, Material Science, Program Management",,,Component/precursor production,Cell production,,,,,Energy infrastructure,,,,,,Bachelors,,Economics,United States,80210,185000,40,35,White,,,,,,,,,Male,,Citizen (foreign-born),,No,"I'm working professionally (e.g., at a company, national lab)",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2024-12-16 16:00:01,,2024-12-16 16:02:03,5fd3ef73f5,
xgiqw1z6r37pu305hiipxgiqw11r00jc,5,5,4,5,5,"Chemistry, process knowledge, experience",,Refining,Component/precursor production,,,,,,,,Equipment manufacturing,,,,Doctorate,,Chemistry,Sweden,,,40,64,White,,,,,,,,,Male,,Citizen (native-born),,Yes,"I'm working professionally (e.g., at a company, national lab)",,1,,,,,4,1,4,,,,,,,,,,,1,0,15,,,,,,,,,,Recycling,,,,,Established (significant market presence),Sweden,,5,251-500,21-50,Senior technical expert,Engineering and design,Investor,,,,,,,,,,,Quality,,Research and development,,,,,,,,Senior,,Challenge and innovation,,,Competitive salary and benefits,,Job security,,,,Desirable work location,,"Yes, in a different role",Consulting,4,4,4,5,Learning on the job,,,,Better foundational knowledge,,,,,Experience from many different fields,,Lack of experienced people,0,0,4,5,5,4,"Salary, bonuses",Job stability,,Vacation time,,Career growth opportunities,,Work location flexibility,Total hours worked,,,,,3,3,5,3,,Retirement account funding or match,,Work-from-home stipend,Gym or physical wellness stipend,,,,,52,6,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2024-12-16 15:47:34,,2024-12-16 16:05:31,3289645d27,
rzqhmr9v6qtkeyn9yrbrzqhmrvesv26e,4,4,4,4,4,"Technical Understanding, Software skills, Chemistry",,,,,,,,,Energy infrastructure,Recycling,,Software,,,Doctorate,,Mechanical Engineering,United States,48073,134000,40,34,White,,,,,,,,,Male,,Non-citizen (H-1B visa),,No,"I'm working professionally (e.g., at a company, national lab)",,1,,,,,4,2,4,134000,,,,,,,,,,1,1,12,,,,,Module/pack production,,,,,,,Software,Consulting,,Established (significant market presence),United States,Michigan,1,"5,001-10,000",1-10,Principal Engineer,Engineering and design,,,Facilities,,,,,Marketing,,New product introduction (NPI),Product design,,,Research and development,,Software development,,Strategy and planning,,Testing and validation,,Career,Career growth opportunities,Challenge and innovation,,Supportive team and environment,,Work-life balance,Job security,Learning and skills development,,Hybrid/remote work,,,No,,3,4,4,4,Learning on the job,,,,Better foundational knowledge,More hands-on skills,,,2,"Matlab, Technical Understanding, Analysis","Technical specialist, Software specialist","Lack of people with correct skills, high level of competition, relocation",0,0,4,5,5,5,"Salary, bonuses",Job stability,,Vacation time,,Career growth opportunities,,Work location flexibility,Total hours worked,Company culture,Visa sponsorship,,,3,4,3,4,Healthcare coverage or stipend,Retirement account funding or match,,,,,"Educational, tuition, or continued education stipend",,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2024-12-16 15:32:52,,2024-12-16 15:40:44,493ae9c939,
4l3byv02h9r7dwfzvpty4l3byv02821v,4,4,4,3,2,Cell level performance and analytics; supply chain expertise and manufacturing knowledge,,,,Cell production,Module/pack production,,,,,,,,,,Bachelors,,Electrical Engineering,United States,77070,18000,40,60,White,,,,,,,,,Male,,Citizen (native-born),,No,"I'm working professionally (e.g., at a company, national lab)",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2024-12-16 15:11:09,,2024-12-16 15:17:30,9bc9fda83d,
6467ly994y72gs646tp3pqb8h5culj8r,5,3,4,5,4,Adaptability; synthesis; innovation,,,Component/precursor production,Cell production,,,Product integration (stationary storage),,,,,,,,Masters,,Environmental Science,United Kingdom,000,43000,38,25,,,,Asian,,,,,,Female,,Citizen (native-born),,No,"I'm working professionally (e.g., at a company, national lab)",,1,,,,,2,3,3,45000,Bonuses (based on individual performance),Bonuses (based on company performance),,,,,,,,1,1,2,,,,,,,,,,,,,Consulting,,Scale-up (rapid growth),United Kingdom,,3,101-250,1-10,,,,,,,,,,,,,,,,Research and development,,,,,Supply chain,,Environment,Career,,,Autonomy and independence,Supportive team and environment,,Work-life balance,,,Sustainability and impact,Hybrid/remote work,,,No,,2,3,4,5,Learning on the job,,Peer mentors,,Better foundational knowledge,More hands-on skills,,,3,adaptability; strive for excellence; synthesis,,lack of industry related knowledge,0,1,5,3,5,3,"Salary, bonuses",Job stability,,,Perks,Career growth opportunities,,Work location flexibility,Total hours worked,Company culture,,,a good manager,3,3,1,3,,Retirement account funding or match,,,,,"Educational, tuition, or continued education stipend",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2024-12-16 15:06:21,,2024-12-16 15:28:42,16a405a710,
6qz2w9bsux4bpovl6qz2w9k1323s9dr3,4,5,5,3,3,Problem solving and critical thinking; code-based data analysis; Detail oriented,,,Component/precursor production,Cell production,,,,,Energy infrastructure,,,,,,Masters,,Materials Science and Engineering,United States,02472,95000,40,27,White,,,,,,,,,Male,,Citizen (native-born),,No,"I'm working professionally (e.g., at a company, national lab)",,1,,,,,2,5,1,95000,,,,,,,,,None,0,0,2,,,,Cell production,Module/pack production,"Product integration (vehicles, mobility)",Product integration (stationary storage),,,,,,,,Established (significant market presence),United States,Massachusetts,5,"1,001-5,000",1-10,Research Engineer,,,,,,,,,,,,,,,Research and development,,,,,,,,Developing,,Challenge and innovation,,Supportive team and environment,,,,Learning and skills development,,,Desirable work location,,No,,3,5,5,5,Learning on the job,,Peer mentors,,Better foundational knowledge,More hands-on skills,,,1,Problem solving and critical thinking; Hands on approach; Hard work,Technician; Facilities; Management,Cost;,1,1,2,2,3,5,"Salary, bonuses",Job stability,,Vacation time,,Career growth opportunities,Parental leave,,,,,,Salary raises; upward movement,2,3,4,3,Healthcare coverage or stipend,Retirement account funding or match,,,,,,,,0,15,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2024-12-16 14:02:30,,2024-12-16 14:19:47,efe0688a16,
kxt8l0dpmdq8qd0y2f62kxt8l41k0nzz,2,2,2,2,2,Safety knowledge; engineering/software; innovation,,,,Cell production,,,,,,,Equipment manufacturing,Software,,,Masters,,Management and Business Administration,United States,29303,10000,45,47,,,Black or African American,,,,,,,Female,,Citizen (native-born),,No,"I'm working professionally (e.g., at a company, national lab)",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2024-12-16 13:44:32,,2024-12-16 13:50:25,23494a8c3c,
5vcjwt2ohqwgk2alp3xcn15vcjwt2u0m,4,3,5,4,4,manufacturing,,,,Cell production,,,Product integration (stationary storage),,,Recycling,,,,,Masters,,Engineering (Other),United States,15237,100000,4,55,White,,,,,,,,,Male,,Citizen (native-born),,No,I'm not employed right now but I used to work for a company,,,,1,I was laid off,,4,2,4,121000,Bonuses (based on individual performance),Bonuses (based on company performance),,,,,,,,1,1,2,,,,,,,,,,,,,Consulting,,Mid-sized (stable growth),United States,Pennsylvania,2,251-500,1-10,,,,,,,,Managing people,Managing projects or programs,,,,,,,,,,,,Supply chain,,,Manager,,,,,,Work-life balance,,Learning and skills development,,,Desirable work location,,"Yes, in a different role",Marketing Manager,3,4,,4,Learning on the job,,,,,,Better understanding of culture and norms,,0,people skills; project managemnet; technical knowledge,sales,,1,1,4,5,3,3,"Salary, bonuses",,,Vacation time,,,,,,Company culture,,,,1,3,2,3,Healthcare coverage or stipend,Retirement account funding or match,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2024-12-16 13:43:08,,2024-12-16 13:52:15,26d425949c,
hjpgzn41zb4wo0gvxy8zxhjpgz7clwjl,2,3,4,3,2,none,,,,,,,,,,,,,,there is no shortage anywhere in China,Doctorate,,Chemical Engineering,United States,no telling,12000,40,11,,,,,,,,Decline to answer,,Male,,Decline to answer,,Yes,"I'm working professionally (e.g., at a company, national lab)",,1,,,,,2,2,1,150000,,,,,,,,,none,0,0,7,,,,,,,,,,,,,,R&D,Mid-sized (stable growth),United States,Massachusetts,0,51-100,11-20,no answer,,,,,,,,,,,,,,,Research and development,,,,,,,,Expert,,,,,,,,,,Hybrid/remote work,,,"Yes, in a similar role",,5,4,3,2,Learning on the job,,,no training at all,,,Better understanding of culture and norms,,0,"keeping my mouth shut, when my employer lies to customers and investors",none,for many married people relocation is the main reason to decline job offers,2,1,2,2,2,4,"Salary, bonuses",,,,,,,,,,,,"job security, but it does not exist anywhere, not even in National Labs",1,1,1,1,Healthcare coverage or stipend,,,,,,,,,0,2,5,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2024-12-16 13:26:26,,2024-12-16 13:38:04,cb47889dca,
nbxzhzrdvc4ue62cjnbxz1f9nq3d3fyw,4,4,5,4,4,"cell testing, cell building, cell assembly",,,,,Module/pack production,"Product integration (vehicles, mobility)",,Product integration (electronics),,,,,,,Doctorate,,Chemistry,United States,20783,198000,42,58,White,,,,,,,,,Male,,Citizen (native-born),,No,"I'm working professionally (e.g., at a company, national lab)",,1,,,,,4,2,4,192000,Bonuses (based on individual performance),,,,,,,,,1,1,24,,,,,,,,,,,,,,,Established (significant market presence),United States,Maryland,5,"100,000+",1-10,Chemist,,,,,,,,,,,,,,,Research and development,,,,,,,,Senior,,,,,,Work-life balance,Job security,,,,Desirable work location,,"Yes, in a different role",R&D personal care,4,4,4,5,Learning on the job,,,,,More hands-on skills,,,0,"Synthesis, testing via electrochemical method, structural characterization",Engineering,"limited experience, not taught in universities",0,0,4,4,5,4,"Salary, bonuses",,,Vacation time,,Career growth opportunities,,,,Company culture,,,"role change, career development",4,5,4,4,Healthcare coverage or stipend,Retirement account funding or match,,,,,"Educational, tuition, or continued education stipend",,,12,5,13,"pension, health care into retirement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2024-12-16 13:24:05,,2024-12-16 13:38:26,e7ad5db082,
dldih5dkplamzzxtmdldih5e7t17ow6r,3,4,2,2,3,Research; Testing;,,,,Cell production,Module/pack production,,,,,Recycling,,,,,Doctorate,,Materials Science and Engineering,India,605014,0,84,29,,,,,,,,,Indian,Male,,Citizen (native-born),,No,"I'm in school or in training (e.g., a student or postdoc)",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,Research Scientist,,,,Cell production,Module/pack production,,,,,,,,,Research and Development,Career growth opportunities,Challenge and innovation,,Supportive team and environment,Competitive salary and benefits,Work-life balance,Job security,Learning and skills development,Sustainability and impact,,,,150000,1,,,Component/precursor production,Cell production,Module/pack production,,,,,,,,,,,,,,,,,,,,,,,,Research and development,,,,,,,,,,,0,36,completed,2024-12-16 11:41:12,,2024-12-16 11:48:28,10dfec8d74,
ujuhk44mkgk66thkttk9ujuhkh37xz86,5,3,4,5,3,[Ability to think outside the box]; [Combining chemical knowledge with DoE skills]; [Healthy failure culture],,,,Cell production,,,,,Energy infrastructure,Recycling,,,,,Masters,,Engineering (Other),Germany,25524,90000,45,40,,,,,,,,Decline to answer,,Decline to answer,,Decline to answer,,Decline to answer,"I'm working professionally (e.g., at a company, national lab)",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2024-12-16 11:17:36,,2024-12-16 11:26:11,913d32c632,
3e2aoyio59cafawje3e2aoycpxvaizya,3,3,1,2,4,Flexibility; Aesthetic;,,,,Cell production,Module/pack production,"Product integration (vehicles, mobility)",,,,,,,,,Bachelors,,Mechanical Engineering,Turkey,34959,50000,45,38,White,,,,,,,,,Male,,Citizen (native-born),,Yes,"I'm working professionally (e.g., at a company, national lab)",,1,,,,,3,3,3,50000,,,,,,,Health and wellness stipends,,,1,0,1,,,,,Module/pack production,,,,,,Equipment manufacturing,Software,,,Scale-up (rapid growth),Turkey,,5,51-100,1-10,Senior Mechanical Design Engineer,Engineering and design,,,,,,,,,,,,,,,,,,,,,,Senior,,,,,,,,Learning and skills development,,,,,No,,2,3,4,5,Learning on the job,Formal training programs,,,,,Better understanding of culture and norms,,0,,Assembly worker; Design Engineer; Manager,"Relationship, Incomes",10,1,4,1,2,4,"Salary, bonuses",,Equity,,,,,,Total hours worked,,,,,5,5,4,5,Healthcare coverage or stipend,,,,,,,,,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2024-12-16 10:41:42,,2024-12-16 11:06:04,07ac000748,
0tclkcxls6al5kb0tclazpukthy5609j,4,4,5,4,3,mathematically thinking; electrochemical analysis; modeling and statistical analysis,,,,Cell production,Module/pack production,,,,,,,,,,Doctorate,,Chemical Engineering,Belgium,3800,25000,40,40,White,,,,,,,,,Male,,Non-citizen (Other),,No,"I'm working professionally (e.g., at a company, national lab)",,1,,,,,3,4,2,51000,,,,,,,,,Holiday compensation,0,0,1,,,,Cell production,,,,,,,,,,,Startup (early growth),Belgium,,4,11-50,1-10,Electrochemical Engineer,Engineering and design,,,,,,,,,,,,,,Research and development,,,,,,Testing and validation,,Senior,Career growth opportunities,,,,,Work-life balance,,Learning and skills development,,,,,No,,2,3,4,4,Learning on the job,,,,Better foundational knowledge,,Better understanding of culture and norms,,3,Mathematical modeling; mentorship; experiment design,CEO; CTO; Team leader,Talent Shortage and skill gaps; high competition for skilled workers; geographic and relocation challenges,2,0,2,5,4,3,"Salary, bonuses",,,Vacation time,,Career growth opportunities,,,,Company culture,,,,3,4,2,3,Healthcare coverage or stipend,,,Work-from-home stipend,,Meal stipend,,,,2,12,20,Company car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2024-12-16 09:44:33,,2024-12-16 10:08:12,9f7afe9e6e,
